Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-NOV-2023,38983,39004.2,38738.7,38775.1,1361474150,11544.61
02-NOV-2023,39061.75,39351.7,39055.45,39312.45,1114215162,13357.43
03-NOV-2023,39576.75,39640.05,39490.4,39587.4,1151347283,12473.18
06-NOV-2023,39831.35,39967.7,39743.4,39937.1,643101342,11886.64
07-NOV-2023,40031.45,40139.25,39892.6,40049.8,731226089,12972.32
08-NOV-2023,40275.8,40482.3,40250.75,40446.85,1012317983,13916.27
09-NOV-2023,40566.35,40680.9,40454.6,40537.65,1122445159,13824.74
10-NOV-2023,40509.3,40778.1,40297.25,40733.05,783225871,11638.7
12-NOV-2023,41048.35,41091.4,40951.8,40982.85,176002810,2117.41
13-NOV-2023,40933.95,41063.7,40784.25,41009.7,1093633940,14162.01
15-NOV-2023,41401.85,41432.55,41237.05,41404.85,1273080872,15912.57
16-NOV-2023,41463.7,41818.95,41414.9,41726.3,896496150,12635.62
17-NOV-2023,41670.7,41863.2,41584.15,41811.25,1479100063,17060.96
20-NOV-2023,41920,42011.1,41774.5,41856.45,1050768947,13702.94
21-NOV-2023,42023.15,42058.95,41843.7,41883.5,820396207,13407.55
22-NOV-2023,41949.25,42078.3,41676.35,42027.1,781579025,13440.99
23-NOV-2023,42168.95,42184.4,42006.5,42027.3,715777242,11493.25
24-NOV-2023,42145.35,42193.2,41992.9,42050.45,716529878,15000.41
28-NOV-2023,42200.95,42299.75,42077.6,42278,874120173,16720.47
29-NOV-2023,42507.1,42664.7,42501.3,42618.7,825903957,16740.8
30-NOV-2023,42709.85,42979.65,42483.7,42908.9,1690971075,44238.25
01-DEC-2023,43155.05,43469.3,43118.25,43382.4,889655957,18925.15
04-DEC-2023,44116.45,44148.9,43727.95,43918.6,1027015082,20613.52
05-DEC-2023,44095.45,44187.95,43661.1,44122.9,1000725407,19772.13
06-DEC-2023,44299.45,44434.75,43989.25,44232.45,920427561,19951.89
07-DEC-2023,44301.15,44516.9,44007.95,44495,1135246392,19805.72
08-DEC-2023,44662.5,44758.35,44033.15,44400.2,944613336,18571
11-DEC-2023,44536.8,44762.95,44458.3,44729.15,1269897714,18747.91
12-DEC-2023,44890.65,44920.65,44303.65,44555.75,1617939334,26111.16
13-DEC-2023,44689,44997.55,44465.95,44947.3,1458505393,21748.21
14-DEC-2023,45276.55,45587,45221.45,45534.3,1980397503,27641.83
15-DEC-2023,45791.35,45814.45,45514.1,45586.55,1664468036,27889.04
18-DEC-2023,45678.6,45833.95,45355.15,45685.15,1550813269,19168.73
19-DEC-2023,45813,45837.6,45276.75,45512.45,1378414690,19340.28
20-DEC-2023,45757.95,45955.95,43845.35,44024.95,1784582919,26995.69
21-DEC-2023,43609.9,44825.15,43281.3,44767.7,1444359086,21926.92
22-DEC-2023,45040.55,45234.15,44758.55,45094.8,1048724756,18079.69
26-DEC-2023,45275.25,45502.25,45138,45388.1,930084515,16993.65
27-DEC-2023,45621.85,45781.6,45341.55,45558.95,704079891,16002.46
28-DEC-2023,45720.2,45846.75,45549.15,45815.25,990436035,20365.63
29-DEC-2023,45931.15,46248.65,45731.15,46181.65,2605518356,20738.43
01-JAN-2024,46339.1,46633.7,46244.85,46472.45,2930842027,18797.12
02-JAN-2024,46581.15,46652.25,45858.6,46389.65,2366367770,21988.76
03-JAN-2024,46473,46652.45,46183.85,46529.05,1617296948,19454.38
04-JAN-2024,46744.8,47345.25,46728.2,47309.7,1356855453,20585.02
05-JAN-2024,47539.3,47647.9,47064.2,47396.3,1899561106,20790.6
08-JAN-2024,47541.55,47560,46845.35,46894.35,1316191803,16081.92
09-JAN-2024,47230,47360.65,46901,46969.95,1434555741,22183.44
10-JAN-2024,47057.15,47130.15,46576.85,47107.15,1547090484,21050.19
11-JAN-2024,47291.7,47434.75,47197.4,47337.3,1156031653,25093.73
12-JAN-2024,47579.05,47595.4,47363.65,47512.6,1006795738,19875.72
15-JAN-2024,47797.05,47951.35,47485.9,47837.95,1497336533,26604.87
16-JAN-2024,47970.75,48053.45,47249.65,47667.4,2071790804,28667.91
17-JAN-2024,47252.75,47599.9,46899.55,47151.55,1901608436,28531.59
18-JAN-2024,47038.2,47176.15,45860.25,47099.85,1647209551,29024
19-JAN-2024,47510.4,47855.9,47377.15,47815.95,1566931814,30016.25
20-JAN-2024,48180.1,48287.2,47899.15,48062.8,983496749,16088.11
23-JAN-2024,48459.15,48493.95,46259,46569.6,1919287130,34762.33
24-JAN-2024,46681.15,47505.4,46081.35,47423.4,1804259902,31186.49
25-JAN-2024,47565.8,47589.25,46951.5,47208.65,1394445170,23819.92
29-JAN-2024,47406.1,48003.15,47289.8,47979.05,1404933888,26423.88
30-JAN-2024,48233,48296.4,47731.85,47791.95,1324051611,23960.1
31-JAN-2024,47876.1,48598.05,47827.3,48568.6,1047472118,23585.82
01-FEB-2024,48726.75,48726.75,47987.3,48298,1425460490,27166.29
